ETC_20150317_000001	ケッピー
ETC_20150317_000002	あまり強いモンスターではありませんが、不用意に攻撃すると痛い目に遭うかもしれません。
ETC_20150317_000003	ビッグケッピー
ETC_20150317_000004	たまにビッグケッピーを食べてみようとする人がいますが、なるべく止めてあげてください。
ETC_20150317_000005	レッドケッピー
ETC_20150317_000006	一般的な認識と違い、レッドケッピーの方が原型のケッピーに近いです。
ETC_20150317_000007	グリーンケッピー
ETC_20150317_000008	モンスター
ETC_20150317_000009	ハミング
ETC_20150317_000010	ハミングは比較的扱いやすいモンスターですが、外皮はとても硬いです。
ETC_20150317_000011	チネンシー
ETC_20150317_000012	見た目と違って植物の茎が変形したモンスターです。
ETC_20150317_000013	ビッグチネンシー
ETC_20150317_000014	ユコプス
ETC_20150317_000015	ユコプスの内部構造はまだ明らかになっていない研究分野です。
ETC_20150317_000016	ブルーユコプス
ETC_20150317_000017	グレーユコプス
ETC_20150317_000018	成熟度によって様々なスキルで攻撃してくるモンスターです。
ETC_20150317_000019	ポクボーン
ETC_20150317_000020	イエローポクボーン
ETC_20150317_000021	ブルーポクボーン
ETC_20150317_000022	色々と注意事項はありますが、突進には特に注意してください。
ETC_20150317_000023	グリーンポクボーン
ETC_20150317_000024	モンスター化した後でも肉を食べられるという長所があります。
ETC_20150317_000025	ブルーポクブー
ETC_20150317_000026	バンシー
ETC_20150317_000027	様々な理由で魔界に足を踏み入れた人々の魂が悪霊となってこの世に現れました。
ETC_20150317_000028	レッドバンシー
ETC_20150317_000029	ブラックバンシー
ETC_20150317_000030	女神に導かれなかった魂が魔族の支配を受けて生まれました。
ETC_20150317_000031	ビッグバンシー
ETC_20150317_000032	ハニカム
ETC_20150317_000033	ブルーハニカム
ETC_20150317_000034	グレーハニカム
ETC_20150317_000035	レッドハニカム
ETC_20150317_000036	ブッシュスパイダー
ETC_20150317_000037	日の当らないところに棲息していた害虫が巨大化したモンスターです。
ETC_20150317_000038	ブラックブッシュスパイダー
ETC_20150317_000039	レッドブッシュスパイダー
ETC_20150317_000040	ホワイトブッシュスパイダー
ETC_20150317_000041	イエローブッシュスパイダー
ETC_20150317_000042	吐き気のするディオニア
ETC_20150317_000043	ディオニアスポア
ETC_20150317_000044	ブルーフラガラス
ETC_20150317_000045	変形前に比べて巨大化しましたが、その他はあまり変わっていません。つまり、変化前から危険な植物でした。
ETC_20150317_000046	ブラックフラガラス
ETC_20150317_000047	レッドフラガラス
ETC_20150317_000048	ゴブリンファイター
ETC_20150317_000049	ブルーゴブリンファイター
ETC_20150317_000050	レッドゴブリンファイター
ETC_20150317_000051	ゴブリンファイターの成長型なのか、先天的なものなのかはまだ明らかになっていません。
ETC_20150317_000052	ゴーレム
ETC_20150317_000053	グレーゴーレム
ETC_20150317_000054	キロネックス
ETC_20150317_000055	キロネックスに命を奪われた人の魂と接触できる人もいるそうです。
ETC_20150317_000056	ブルーキロネックス
ETC_20150317_000057	グリーンキロネックス
ETC_20150317_000058	レッドキロネックス
ETC_20150317_000059	研究者たちは植物に霊魂があり、それが変形したのがキロネックスだとしています。
ETC_20150317_000060	キロネックスプチ
ETC_20150317_000061	エラガノス
ETC_20150317_000062	バイト
