INTL_20160512_000001	インスタンスダンジョン、ミッション1回追加入場
INTL_20160512_000002	完璧な翻訳家
INTL_20160512_000003	完璧な翻訳を提供してくれたユーザーに与えられる称号です。
INTL_20160512_000004	- 特性スキル2種同時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数 5個{nl} - キャラクター移動速度 +3{nl} - ミッション、ダンジョン1回追加入場{nl} - 最大バフ適用数アップ{nl} - プレミアムポーズ使用可能{nl}
INTL_20160512_000005	トークン:60日
INTL_20160512_000006	右クリックで使用すると、サーバー内の全キャラクターに使用時点から60日間特典が適用されます。{nl}[トークン効果]{nl} - 特性即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数 9個{nl} - キャラクター移動速度 +3アップ{nl} - モンスター退治経験値 +20%アップ{nl}(ネットカフェ特典、経験の書効果との重複可能){nl} - プレミアムポーズ使用可能{nl} - 最大バフ適用数アップ{nl} - 個人取引60回可能
INTL_20160512_000007	右クリックで使用すると、アイテムを獲得できます。{nl} - 650 TP{nl} - トークン(60日){nl} - ヘアアクセサリ - ポポリオン人形{nl} - ヘアアクセサリ - ハナミン人形{nl} - ホグランコンパニオン交換券{nl} - ステータス初期化ポーション{nl} - スキル初期化ポーション{nl}
INTL_20160512_000008	使用すると650TPを獲得します。
INTL_20160512_000009	使用すると380TPを獲得します。
INTL_20160512_000010	使用すると160TPを獲得します。
INTL_20160512_000011	右クリックで使用すると、アイテムを獲得できます。{nl} - 380 TP{nl} - トークン (30日){nl} - ヘアアクセサリ - ポポリオン人形{nl}
INTL_20160512_000012	右クリックで使用すると、アイテムを獲得できます。{nl} - 160 TP{nl}
INTL_20160512_000013	使用すると50TPを獲得します。使用してキャラクターインベントリから受け取ると、キャンセルできません。
INTL_20160512_000014	右クリックで使用すると、サーバー内の全キャラクターに使用時点から30日間特典が適用されます。{nl}[トークン効果]{nl} - 特性即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数 9個{nl} - キャラクター移動速度 +3アップ{nl} - モンスター退治経験値 +30%アップ{nl}(ネットカフェ特典、経験の書効果との重複可能){nl} - プレミアムポーズ使用可能{nl} - 最大バフ適用数アップ{nl} - 個人取引30回可能{nl} - ミッション、ダンジョン1回追加入場
INTL_20160512_000015	右クリックで使用すると、サーバー内の全キャラクターに使用時点から60日間特典が適用されます。{nl}[トークン効果]{nl} - 特性即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数 9個{nl} - キャラクター移動速度 +3アップ{nl} - モンスター退治経験値 +30%アップ{nl}(ネットカフェ特典、経験の書効果との重複可能){nl} - プレミアムポーズ使用可能{nl} - 最大バフ適用数アップ{nl} - 個人取引60回可能{nl} - ミッション、ダンジョン1回追加入場
INTL_20160512_000016	魔法付与スクロール10個箱
INTL_20160512_000017	使用すると魔法付与スクロールを10個獲得します。右クリックで使用できます。
INTL_20160512_000018	メガホン10個箱
INTL_20160512_000019	使用するとメガホンを10個獲得します。右クリックで使用できます。
INTL_20160512_000020	使用すると455TPを獲得します。
INTL_20160512_000021	使用すると266TPを獲得します。
INTL_20160512_000022	使用すると112TPを獲得します。
INTL_20160512_000023	右クリックで使用すると、アイテムを獲得できます。{nl} - 190TP{nl} - トークン - プレゼント(15日){nl} - 高濃縮HP/SPポーション20個{nl} - ソウルクリスタル15個{nl} - メガホン15個{nl} - ワープスクロール15個{nl}
INTL_20160512_000024	使用すると190TPを獲得します。
INTL_20160512_000025	右クリックで使用すると、アイテムを獲得できます。{nl} - トークン (30日){nl} - 魔法付与スクロール X 4{nl} - インスタンスダンジョン入場回数初期化券 X 5{nl}
INTL_20160512_000026	ホグラン交換券
INTL_20160512_000027	コンパニオン商店でホグランと交換できます。
INTL_20160512_000028	攻撃力#{CaptionRatio}#%アップ{nl}特性追加ダメージ#{CaptionRatio2}#{nl}持続時間10秒
INTL_20160512_000029	トークン:30日
INTL_20160722_000030	右クリックで使用すると、サーバー内の全キャラクターに使用時点から30日間特典が適用されます。{nl}[トークン効果]{nl} - 特性スキル 2個同時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数 9個{nl} - キャラクター移動速度 +3アップ{nl} - モンスター退治経験値 +30%アップ{nl}(ネットカフェ特典、経験の書効果との重複可能){nl} - プレミアムポーズ使用可能{nl} - 個人取引 30回可能{nl} - 個人取引回数 30回{nl} - ミッション、ダンジョン1回追加入場
INTL_20160722_000031	右クリックで使用すると、サーバー内の全キャラクターに使用時点から60日間特典が適用されます。{nl}[トークン効果]{nl} - 特性即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数 9個{nl} - キャラクター移動速度 +3アップ{nl} - モンスター退治経験値 +30%アップ{nl}(ネットカフェ特典、経験の書効果との重複可能){nl} - プレミアムポーズ使用可能{nl} - 最大バフ適用数アップ{nl} - 個人取引 60回可能{nl} - ミッション、ダンジョン1回追加入場
INTL_20160722_000032	右クリックで使用すると、サーバー内の全キャラクターに使用時点から30日間特典が適用されます。{nl}[トークン効果]{nl} - 特性即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数 9個{nl} - キャラクター移動速度 +3アップ{nl} - モンスター退治経験値 +30%アップ{nl}(ネットカフェ特典、経験の書効果との重複可能){nl} - プレミアムポーズ使用可能{nl} - 最大バフ適用数アップ{nl} - 個人取引 30回可能{nl} - ミッション、ダンジョン1回追加入場
INTL_20160722_000033	右クリックで使用すると、サーバー内の全キャラクターに使用時点から60日間特典が適用されます。{nl}[トークン効果]{nl} - 特性スキル即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数 9個{nl} - キャラクター移動速度 +3アップ{nl} - モンスター退治経験値 +30%アップ{nl}(ネットカフェ特典、経験の書効果との重複可能){nl} - プレミアムポーズ使用可能{nl} - 最大バフ適用数アップ{nl} - ミッション、ダンジョン1回追加入場
