ITEM_20150317_000001	なし_helmet
ITEM_20150317_000002	ムルミロヘルメット
ITEM_20150317_000003	なし_armband
ITEM_20150317_000004	レッドアームバンド
ITEM_20150317_000005	アームバンド
ITEM_20150317_000006	ノットアームバンド
ITEM_20150317_000007	ロングアームバンド
ITEM_20150317_000008	フェザーアームバンド
ITEM_20150317_000009	タッセルアームバンド
ITEM_20150317_000010	なし_weapon
ITEM_20150317_000011	粗悪なグラディウス
ITEM_20150317_000012	片手剣[斬]
ITEM_20150317_000013	グラディウスは王国兵士の基本武器の一つで、民間でも広く使われています。
ITEM_20150317_000014	グラディウス
ITEM_20150317_000015	軍用に比べ、性能向上の余地を残して作れらています。
ITEM_20150317_000016	ローファルシオン
ITEM_20150317_000017	斬る性能に優れた剣です。
ITEM_20150317_000018	ローカスカラ
ITEM_20150317_000019	製造が簡単なので、冒険家たちが初めて剣を買い替える時によく選ばれます。
ITEM_20150317_000020	チンクエディア
ITEM_20150317_000021	より重く、より強い剣を望むならお勧めです。
ITEM_20150317_000022	サーベル
ITEM_20150317_000023	騎兵の基本装備で、斬るのにふさわしい形をしています。鍔があり、手を保護する効果もあります。
ITEM_20150317_000024	シャムシール
ITEM_20150317_000025	大きく曲がった三日月状の刃で切れ味が抜群です。
ITEM_20150317_000026	シミター
ITEM_20150317_000027	重さは少し気になりますがその分、斬る力が絶大です。
ITEM_20150317_000028	クリス
ITEM_20150317_000029	曲がりくねった刃が大ダメージを与えます。デザイン性と実用性を兼ね備えた剣です。
ITEM_20150317_000030	スニッカーズニー
ITEM_20150317_000031	斬る力に優れ、戦闘経験の多いソードマンたちからも愛用されています。
ITEM_20150317_000032	粗悪なシャムシール
ITEM_20150317_000033	粗悪なシミター
ITEM_20150317_000034	兵士のグラディウス
ITEM_20150317_000035	正規兵に支給されます。民間で製造されたグラディウスに比べ、性能が抜群です。
ITEM_20150317_000036	村長のファルシオン
ITEM_20150317_000037	前の所有者の過去が疑わしくなる物です。
ITEM_20150317_000038	粗悪なカスカラ
ITEM_20150317_000039	モプラ
ITEM_20150317_000040	実用性とデザイン性を兼ね備えた剣です。
ITEM_20150317_000041	ヘビーグラディウス
ITEM_20150317_000042	ファルシオン
ITEM_20150317_000043	ヘビーファルシオン
ITEM_20150317_000044	カスカラ
ITEM_20150317_000045	ヘビーチンクエディア
ITEM_20150317_000046	ヘビーサーベル
ITEM_20150317_000047	ヘビーシャムシール
ITEM_20150317_000048	ダンケルサーベル
ITEM_20150317_000049	ダンケルスニッカーズニー
ITEM_20150317_000050	ダンケルファルシオン
ITEM_20150317_000051	ダンケルカスカラ
ITEM_20150317_000052	ダンケルチンクエディア
ITEM_20150317_000053	ダンケルシャムシール
ITEM_20150317_000054	小刀
ITEM_20150317_000055	ToolTipがありません。
ITEM_20150317_000056	ボードレール
ITEM_20150317_000057	サイフ
ITEM_20150317_000058	クリシュマルド
ITEM_20150317_000059	フィランギ
ITEM_20150317_000060	ソーンカッター
ITEM_20150317_000061	デミオンソード
ITEM_20150317_000062	至尊剣
ITEM_20150317_000063	パントソード
ITEM_20150317_000064	パントたちが使用していますが、自分で作れば、さらに良いパントソードを作ることができます。
ITEM_20150317_000065	フロナスサーベル
ITEM_20150317_000066	この剣には植物が動物に対して持っている感情が表れていると言う人たちもいます。
ITEM_20150317_000067	ゴールデンファルシオン
ITEM_20150317_000068	黄金が幸運の象徴であるせいか、ゴールデンファルシオンは戦闘中にラッキーなことを起こす時があります。もちろん、敵にはアンラッキーなことになりますが。
ITEM_20150317_000069	スチールファルシオン
ITEM_20150317_000070	剣術の精密さを追求するソードマンなら、スチールファルシオンを選んだ方がいいかもしれません。
ITEM_20150317_000071	シルバーファルシオン
ITEM_20150317_000072	軽いのに意外に頑丈で、ソードマンの勇ましさを込めた攻撃を披露することができます。
ITEM_20150317_000073	マンドラゴラピック
ITEM_20150317_000074	マンドラゴラの力が込められており、装備している人の頭をすっきりさせます。
ITEM_20150317_000075	ウィザードブレード
