QUEST_20150317_000001	クエスト修正が必要なユーザーを選択してください。
QUEST_20150317_000002	ヴァカリネ女神像
QUEST_20150317_000003	エリアを選択してください。
QUEST_20150317_000004	選択
QUEST_20150317_000005	アイテムを選択してください。
QUEST_20150317_000006	グループ選択
QUEST_20150317_000007	チートスタートグループを選択してください。
QUEST_20150317_000008	ゾーン選択
QUEST_20150317_000009	開始するゾーンを選択してください。
QUEST_20150317_000010	転職選択
QUEST_20150317_000011	なりたい職業を選択してください。
QUEST_20150317_000012	ボコルマスター
QUEST_20150317_000013	この石版がどんな物なのか気になるのかい。{nl}お望みとあらばこの石版を作った者の意志を幻影で見せてあげよう。
QUEST_20150317_000014	女神ライマ
QUEST_20150317_000015	あなたがこの啓示を見ているのは、きっと永い時を経た未来なのでしょう。{nl}私は運命と予知の女神ライマです。{nl}
QUEST_20150317_000016	600年前にこの啓示を作りながら、私は多くの死と悲しみを目の当たりにしました。{nl}あなたがこの啓示を見ているということは、私が予知した全てが実際に現実となったのでしょう。{nl}
QUEST_20150317_000017	すでに最初の災いは魔族によって引き起こされ、女神たちは姿を隠しているはずです。{nl}私はその全てを予知し、阻止しようと力を尽くしましたが…{nl}私の力ではどうすることもできませんでした。{nl}
QUEST_20150317_000018	私は世界を救う方法を探すために、永い予知の夢の中をさまよいました。{nl}その夢の果てに現れたのが、救済者…つまり、あなただったのです。{nl}
QUEST_20150317_000019	でも、予知の力を持つ私を魔族が放っておくはずがありません。{nl}あなたが現れるまで、どうにか身を隠さなければなりませんでした。{nl}
QUEST_20150317_000020	そこで私は自分自身をいくつかに分けて啓示に宿らせることにしました。{nl}啓示を作り、王国中に隠すことには千年の月日がかかりましたが…。{nl}
QUEST_20150317_000021	救済者よ。{nl}私が完全な姿を取り戻し、魔族の野望を阻止するには{nl}様々な時間軸に隠した啓示を全て見つけ出さなければなりません。
QUEST_20150317_000022	あなたに与えられた神聖な使命の重みが肩にのしかかるでしょう。{nl}もしかしたら、果ての無い試練と苦難の泥水の中でもがくことになるかもしれません。{nl}
QUEST_20150317_000023	ですが、私とこの世界を救えるのはあなただけなのです。{nl}
QUEST_20150317_000024	次の啓示は初代パラディンに預けておきました。{nl}最上の花園であなたを待っています。
QUEST_20150317_000025	邪悪な力や意志はまったく感じないね。{nl}つまり、この啓示は本当に女神ライマの…本当に驚いたよ。
QUEST_20150317_000026	さあ。ウスカ様のところへ戻るんだ。{nl}あの方なら、主の行くべき場所を正しく教えてくれるだろうさ。{nl}これから進む道に女神の祝福があらんことを…。
QUEST_20150317_000027	スマートジェンを選択してください。
QUEST_20150317_000028	ウィリアム
QUEST_20150317_000029	利用料金は100シルバーです。{nl}モンスターの群れの中を進むことを考えれば、安いものですよ。
QUEST_20150317_000030	キャンバーグ
QUEST_20150317_000031	利用料金は100シルバーです。{nl}運営費や人件費などが含まれた金額なんですよ。
QUEST_20150317_000032	無料ではちょっと…すみませんね。{nl}あまり無理なことはおっしゃらないでくださいよ。
QUEST_20150317_000033	無料にはできませんってば。{nl}いくら啓示者でもダメなものはダメなんです！
QUEST_20150317_000034	放浪の商人
QUEST_20150317_000035	小生、言うなれば風に漂うたんぽぽの綿毛のような身。{nl}こうして出会ったのも何かのご縁でしょう。商品を見て行かれませんか？
QUEST_20150317_000036	クリスティーナ
QUEST_20150317_000037	こんにちは。{nl}気の合う仲間を探しているみたいね。{nl}旅のお供にピッタリの子を紹介してあげるわ。
QUEST_20150317_000038	コンパニオンに君の戦いを見守らせたり、特性訓練を受けさせることもできるのよ。{nl}お気に入りのコンパニオンなら、素敵な装備を買ってあげることだってできるわ。{nl}
QUEST_20150317_000039	それから、君の愛情を受けて育ったコンパニオンは搭乗者の体力と回避率を高めてくれるの。{nl}どう？この子たちならあなたの素敵なお供になると思わない？
QUEST_20150317_000040	箱に合う鍵が必要です。
QUEST_20150317_000041	クエスト選択
QUEST_20150317_000042	クエスト状態変更
QUEST_20150317_000043	強制スタート？
QUEST_20150317_000044	削除するアイテム
QUEST_20150317_000045	GenType選択
QUEST_20150317_000046	座標選択
QUEST_20150317_000047	騎士ティタス
QUEST_20150317_000048	クラペダの騎士団長ウスカ様を訪ねるといい。{nl}だが、その前に頼みたいことがあるからちょっと話を聞いてくれないか。
QUEST_20150317_000049	少しでも休む時間があるといいのだが…。
QUEST_20150317_000050	スパルナス…。{nl}手ごわい相手だ…。
QUEST_20150317_000051	兵士ムディー
QUEST_20150317_000052	まずはこのモンスターを倒してから話しましょう。
QUEST_20150317_000053	合同調査団スコット
QUEST_20150317_000054	我々合同調査団が必要無くなる日が早く来れば良いんだが…。{nl}ああ、平和な世界が恋しいってことだ。ハハハ。{nl}
QUEST_20150317_000055	最初から始めようにも何をどうすれば良いやら…。{nl}もしや、何か聞いていないか？
QUEST_20150317_000056	俺達は王室の命令でこの森の奇妙な事件を調べに来たんだ。{nl}目撃者の話によると、大きな顔と不気味な指を見たらしいんだが…。{nl}一体何が起きているんだ？
QUEST_20150317_000057	昔は巡礼者たちがこの森を通っていたらしいですよ。{nl}でも、今はモンスターのせいで兵士だらけですけど。
QUEST_20150317_000058	4年前までは女神たちもよく姿を見せていたんです。{nl}でも、今はいくら祈っても何も感じられなくて…。{nl}本当に私たちを見捨ててしまったんでしょうか？
QUEST_20150317_000059	バセニン様は各地域を行き来しながら、仕事をしているんです。{nl}街にずっといるのは息苦しいとかで…。
QUEST_20150317_000060	ところで、ここに留まって軍人になる気はありませんか？{nl}興味があるなら、私が上に伝えておきますよ。
QUEST_20150317_000061	いつどこからモンスターが襲いかかって来るか分からないので、油断できません。
QUEST_20150317_000062	女神ジェミナはいったいどこにいらっしゃるのやら…。
QUEST_20150317_000063	一体どうなってるんですか？
QUEST_20150317_000064	誰よりも大地の女神であるジェミナ様が悲しまれると思います。
QUEST_20150317_000065	ポクブーは前にも見たことがあります。{nl}でも、他にも謎のモンスターが現れるんですよね。
QUEST_20150317_000066	きっと女神は人々を見捨てたんです。{nl}そうじゃなければ、モンスターがあんなに増えるはずがありませんから。
QUEST_20150317_000067	この近くの森に女神の力を受けた人が暮らしてるらしいんですけど…。
QUEST_20150317_000068	故郷に帰りたいな…。
QUEST_20150317_000069	ここでいくらモンスターを倒しても、キリが無いんです。
QUEST_20150317_000070	啓示者？ジュリアンに言われて来たのか？
QUEST_20150317_000071	そんなはずありません。{nl}ここ数年でこの森で会ったのはあなただけですから。{nl}
QUEST_20150317_000072	私が見た物を、あなたにも見せてあげましょう。
