SKILL_20150317_000001	攻撃
SKILL_20150317_000002	[エリートケッピー] 1回、物理、毒属性、殴る
SKILL_20150317_000003	[ラフレシア] 周辺に毒を飛ばす
SKILL_20150317_000004	[ラフレシア] 毒の砲弾を飛ばす
SKILL_20150317_000005	[ラフリー] 物理、打撃、毒属性、1回攻撃
SKILL_20150317_000006	[ラフリー] 物理、打撃、毒属性、1回ジャンプして襲いかかる攻撃
SKILL_20150317_000007	[プラギ] 物理、殴る、毒属性、1回 一般攻撃、前方扇型
SKILL_20150317_000008	[プラギ] 物理、打撃、毒属性、1回攻撃
SKILL_20150317_000009	[プラギ] 物理、打撃、毒属性、1回打ち下ろす
SKILL_20150317_000010	[ジグリ] 一般攻撃、前方扇型
SKILL_20150317_000011	[ジグリ] 回転攻撃を行う
SKILL_20150317_000012	[ジグリ] ジャンプして衝撃波を発生させる
SKILL_20150317_000013	[フィッシャーマン] 物理、打撃、氷属性、1回釣竿で打ち下ろす
SKILL_20150317_000014	[フィッシャーマン] マジック、バフ、マジック、]バフスキル
SKILL_20150317_000015	[グリーンポクボーン] 物理、突き、雷属性、1回角で突く
SKILL_20150317_000016	[ブッシュスパイダー] 物理、打撃、地属性、1回攻撃
SKILL_20150317_000017	[フラガラス] 素早く噛みちぎる
SKILL_20150317_000018	[フラガラス] 大きく噛みちぎる
SKILL_20150317_000019	[フラガラス] 一般攻撃、前方扇型
SKILL_20150317_000020	ベーシック一般攻撃
SKILL_20150317_000021	[キロネックス] マジック、マジック、雷属性で1回攻撃
SKILL_20150317_000022	[ランタンキノコ] 物理、斬る、雷属性で1回攻撃
SKILL_20150317_000023	[ランタンキノコ] 物理、斬る、雷属性 1回ノックバック攻撃
SKILL_20150317_000024	[バイト] 物理、突き、毒属性で1回攻撃
SKILL_20150317_000025	[バンシー] マジック、マジック、氷属性、1回吐息で打撃
SKILL_20150317_000026	[バンシー] マジック、マジック、氷属性、アイスパイク
SKILL_20150317_000027	[ミニグリバー] 物理、打撃、雷属性、1回両手で打つ
SKILL_20150317_000028	[ジャイアントグリバー] 物理、打撃、雷属性、1回強く打ち下ろす
SKILL_20150317_000029	[ジャイアントグリバー] 物理、打撃、雷属性、1回毒霧を吐く
SKILL_20150317_000030	[ジャイアントグリバー] 物理、打撃、雷属性、1回両手で地面を打つ
SKILL_20150317_000031	[ハミング] 物理、打撃、雷属性、1打前方へ頭突き
SKILL_20150317_000032	[ハミング] 物理、打撃、雷属性、1打前方へカウンタースキル
SKILL_20150317_000033	[ハミング] 物理、打撃、雷属性、1打ジャンプしながら回し蹴り攻撃
SKILL_20150317_000034	[トラフリー]物理、殴る、雷属性、待機して短く体当たり
SKILL_20150317_000035	[トラフリー]物理、殴る、雷属性、上から下へ打ち下ろす
SKILL_20150317_000036	[トラフリー]物理、殴る、雷属性、待機して体当たり
SKILL_20150317_000037	[ダークスライム] 物理、打撃、闇属性、1回頭突き攻撃
SKILL_20150317_000038	[ダークスライム] 物理、打撃、闇属性、1回攻撃
