UI_20150317_000001	{@st41b}各クラスのマスターのところで{nl}特性を習得できます。{/}
UI_20150317_000002	{@st43}特性リスト{/}
UI_20150317_000003	{@st59}特性リストを閉じます{/}
UI_20150317_000004	{@st43}特性習得{/}
UI_20150317_000005	{@st59}特性ウィンドウを閉じます{/}
UI_20150317_000006	{@st41b}所持金{/}
UI_20150317_000007	自分の業績
UI_20150317_000008	サーバーランキング
UI_20150317_000009	{@st59}突発イベントがあります{/}
UI_20150317_000010	{@st59}ヘルプメッセージがあります{/}
UI_20150317_000011	{@st41}どの矢を製造しますか？{/}
UI_20150317_000012	{@st41b}一度だけ{/}
UI_20150317_000013	{@st41b}全部{/}
UI_20150317_000014	{@st41b}中断{/}
UI_20150317_000015	{@st43}冒険日誌{/}
UI_20150317_000016	{@st43}競売場{/}
UI_20150317_000017	{@st59}競売場を閉じます{/}
UI_20150317_000018	{@st41b}落札アイテム : %s個、流札アイテム : %s個{/}
UI_20150317_000019	{@st43}{s22}アイテム競売{/}
UI_20150317_000020	{@st59}クエスト情報を閉じます{/}
UI_20150317_000021	アベイレスト
UI_20150317_000022	{@st41b}残りの時間
UI_20150317_000023	3時間 16分
UI_20150317_000024	{@st41b}開始価格
UI_20150317_000025	{@st41b}入札数
UI_20150317_000026	{@st41b}現在の価格
UI_20150317_000027	{@st41b}入札金
UI_20150317_000028	{@st41b}取消 {@st57}%s {@st41b}シルバーから入札可能{/}
UI_20150317_000029	{@st41b}入札{/}
UI_20150317_000030	{@st43b}即時購入！{nl}{img icon_item_silver 20 20}{@st57}%s{/}
UI_20150317_000031	{@st44}権限設定{/}
UI_20150317_000032	{@st45}名前:%s{/}
UI_20150317_000033	{@st45}PT倉庫{/}
UI_20150317_000034	{@st49}なし
UI_20150317_000035	{@st49}入れる
UI_20150317_000036	{@st49}持ってくる
UI_20150317_000037	{@st45}アンケート{/}
UI_20150317_000038	{@st49}作成
UI_20150317_000039	{@st49}削除
UI_20150317_000040	{@st44}保存{/}
UI_20150317_000041	{@st44}取消{/}
UI_20150317_000042	{@st43}{s22}美容室{/}
UI_20150317_000043	{@st59}前のヘア{/}
UI_20150317_000044	{@st59}次のヘア{/}
UI_20150317_000045	{@st41b}変更{s18}(メダル 100必要){/}
UI_20150317_000046	{@st59}選択したヘアに変更します。{/}
UI_20150317_000047	{@st41}解約
UI_20150317_000048	{@st43}ブラックマーケット{/}
UI_20150317_000049	本の名前
UI_20150317_000050	{@st59}読書をやめます{/}
UI_20150317_000051	{@st59}前のページ{/}
UI_20150317_000052	{@st59}次のページ{/}
